id,date,cluster,habit_id,completed,streak_current,streak_broken_count,effort_minutes
oper_hst_beber_2l_de_agua_20251223,2025-12-23,oper,oper_hab_beber_2l_de_agua,True,1,0,2
oper_hst_meditar_10min_20251223,2025-12-23,oper,oper_hab_meditar_10min,True,1,0,10
oper_hst_alongamento_20251223,2025-12-23,oper,oper_hab_alongamento,True,1,0,10
oper_hst_escrever_diario_20251223,2025-12-23,oper,oper_hab_escrever_diario,True,1,0,15
oper_hst_planejar_dia_20251223,2025-12-23,oper,oper_hab_planejar_dia,True,1,0,10
oper_hst_beber_2l_de_agua_20251224,2025-12-24,oper,oper_hab_beber_2l_de_agua,True,2,0,2
oper_hst_meditar_10min_20251224,2025-12-24,oper,oper_hab_meditar_10min,True,2,0,10
oper_hst_alongamento_20251224,2025-12-24,oper,oper_hab_alongamento,True,2,0,10
oper_hst_escrever_diario_20251224,2025-12-24,oper,oper_hab_escrever_diario,True,2,0,15
oper_hst_planejar_dia_20251224,2025-12-24,oper,oper_hab_planejar_dia,True,2,0,10
oper_hst_beber_2l_de_agua_20251225,2025-12-25,oper,oper_hab_beber_2l_de_agua,True,3,0,2
oper_hst_meditar_10min_20251225,2025-12-25,oper,oper_hab_meditar_10min,True,3,0,10
oper_hst_alongamento_20251225,2025-12-25,oper,oper_hab_alongamento,True,3,0,10
oper_hst_escrever_diario_20251225,2025-12-25,oper,oper_hab_escrever_diario,True,3,0,15
oper_hst_planejar_dia_20251225,2025-12-25,oper,oper_hab_planejar_dia,True,3,0,10
oper_hst_beber_2l_de_agua_20251226,2025-12-26,oper,oper_hab_beber_2l_de_agua,True,4,0,2
oper_hst_meditar_10min_20251226,2025-12-26,oper,oper_hab_meditar_10min,True,4,0,10
oper_hst_alongamento_20251226,2025-12-26,oper,oper_hab_alongamento,True,4,0,10
oper_hst_escrever_diario_20251226,2025-12-26,oper,oper_hab_escrever_diario,True,4,0,15
oper_hst_planejar_dia_20251226,2025-12-26,oper,oper_hab_planejar_dia,True,4,0,10
oper_hst_beber_2l_de_agua_20251227,2025-12-27,oper,oper_hab_beber_2l_de_agua,False,4,0,0
oper_hst_meditar_10min_20251227,2025-12-27,oper,oper_hab_meditar_10min,False,4,0,0
oper_hst_alongamento_20251227,2025-12-27,oper,oper_hab_alongamento,False,4,0,0
oper_hst_escrever_diario_20251227,2025-12-27,oper,oper_hab_escrever_diario,False,4,0,0
oper_hst_planejar_dia_20251227,2025-12-27,oper,oper_hab_planejar_dia,False,4,0,0
oper_hst_beber_2l_de_agua_20251228,2025-12-28,oper,oper_hab_beber_2l_de_agua,True,5,0,2
oper_hst_meditar_10min_20251228,2025-12-28,oper,oper_hab_meditar_10min,True,5,0,10
oper_hst_alongamento_20251228,2025-12-28,oper,oper_hab_alongamento,True,5,0,10
oper_hst_escrever_diario_20251228,2025-12-28,oper,oper_hab_escrever_diario,True,5,0,15
oper_hst_planejar_dia_20251228,2025-12-28,oper,oper_hab_planejar_dia,True,5,0,10
oper_hst_beber_2l_de_agua_20251229,2025-12-29,oper,oper_hab_beber_2l_de_agua,True,6,0,2
oper_hst_meditar_10min_20251229,2025-12-29,oper,oper_hab_meditar_10min,True,6,0,10
oper_hst_alongamento_20251229,2025-12-29,oper,oper_hab_alongamento,True,6,0,10
oper_hst_escrever_diario_20251229,2025-12-29,oper,oper_hab_escrever_diario,True,6,0,15
oper_hst_planejar_dia_20251229,2025-12-29,oper,oper_hab_planejar_dia,True,6,0,10
oper_hst_beber_2l_de_agua_20251230,2025-12-30,oper,oper_hab_beber_2l_de_agua,True,7,0,2
oper_hst_meditar_10min_20251230,2025-12-30,oper,oper_hab_meditar_10min,True,7,0,10
oper_hst_alongamento_20251230,2025-12-30,oper,oper_hab_alongamento,True,7,0,10
oper_hst_ler_30min_20251230,2025-12-30,oper,oper_hab_ler_30min,True,1,0,30
oper_hst_escrever_diario_20251230,2025-12-30,oper,oper_hab_escrever_diario,True,7,0,15
oper_hst_planejar_dia_20251230,2025-12-30,oper,oper_hab_planejar_dia,True,7,0,10
oper_hst_beber_2l_de_agua_20251231,2025-12-31,oper,oper_hab_beber_2l_de_agua,True,8,0,2
oper_hst_meditar_10min_20251231,2025-12-31,oper,oper_hab_meditar_10min,True,8,0,10
oper_hst_alongamento_20251231,2025-12-31,oper,oper_hab_alongamento,True,8,0,10
oper_hst_ler_30min_20251231,2025-12-31,oper,oper_hab_ler_30min,True,2,0,30
oper_hst_escrever_diario_20251231,2025-12-31,oper,oper_hab_escrever_diario,True,8,0,15
oper_hst_planejar_dia_20251231,2025-12-31,oper,oper_hab_planejar_dia,True,8,0,10
oper_hst_beber_2l_de_agua_20260101,2026-01-01,oper,oper_hab_beber_2l_de_agua,True,9,0,2
oper_hst_meditar_10min_20260101,2026-01-01,oper,oper_hab_meditar_10min,True,9,0,10
oper_hst_alongamento_20260101,2026-01-01,oper,oper_hab_alongamento,True,9,0,10
oper_hst_ler_30min_20260101,2026-01-01,oper,oper_hab_ler_30min,True,3,0,30
oper_hst_escrever_diario_20260101,2026-01-01,oper,oper_hab_escrever_diario,True,9,0,15
oper_hst_planejar_dia_20260101,2026-01-01,oper,oper_hab_planejar_dia,True,9,0,10
oper_hst_beber_2l_de_agua_20260102,2026-01-02,oper,oper_hab_beber_2l_de_agua,True,10,0,2
oper_hst_meditar_10min_20260102,2026-01-02,oper,oper_hab_meditar_10min,True,10,0,10
oper_hst_alongamento_20260102,2026-01-02,oper,oper_hab_alongamento,True,10,0,10
oper_hst_ler_30min_20260102,2026-01-02,oper,oper_hab_ler_30min,True,4,0,30
oper_hst_escrever_diario_20260102,2026-01-02,oper,oper_hab_escrever_diario,True,1,1,15
oper_hst_planejar_dia_20260102,2026-01-02,oper,oper_hab_planejar_dia,True,10,0,10
oper_hst_beber_2l_de_agua_20260103,2026-01-03,oper,oper_hab_beber_2l_de_agua,False,10,0,0
oper_hst_meditar_10min_20260103,2026-01-03,oper,oper_hab_meditar_10min,True,11,0,10
oper_hst_alongamento_20260103,2026-01-03,oper,oper_hab_alongamento,True,11,0,10
oper_hst_ler_30min_20260103,2026-01-03,oper,oper_hab_ler_30min,True,5,0,30
oper_hst_escrever_diario_20260103,2026-01-03,oper,oper_hab_escrever_diario,True,1,2,15
oper_hst_planejar_dia_20260103,2026-01-03,oper,oper_hab_planejar_dia,True,11,0,10
oper_hst_beber_2l_de_agua_20260104,2026-01-04,oper,oper_hab_beber_2l_de_agua,True,11,0,2
oper_hst_meditar_10min_20260104,2026-01-04,oper,oper_hab_meditar_10min,True,12,0,10
oper_hst_alongamento_20260104,2026-01-04,oper,oper_hab_alongamento,True,12,0,10
oper_hst_ler_30min_20260104,2026-01-04,oper,oper_hab_ler_30min,True,6,0,30
oper_hst_escrever_diario_20260104,2026-01-04,oper,oper_hab_escrever_diario,True,1,3,15
oper_hst_planejar_dia_20260104,2026-01-04,oper,oper_hab_planejar_dia,False,11,0,0
oper_hst_beber_2l_de_agua_20260105,2026-01-05,oper,oper_hab_beber_2l_de_agua,True,12,0,2
oper_hst_meditar_10min_20260105,2026-01-05,oper,oper_hab_meditar_10min,True,13,0,10
oper_hst_alongamento_20260105,2026-01-05,oper,oper_hab_alongamento,True,13,0,10
oper_hst_ler_30min_20260105,2026-01-05,oper,oper_hab_ler_30min,False,6,0,0
oper_hst_escrever_diario_20260105,2026-01-05,oper,oper_hab_escrever_diario,True,2,3,15
oper_hst_planejar_dia_20260105,2026-01-05,oper,oper_hab_planejar_dia,True,12,0,10
oper_hst_beber_2l_de_agua_20260106,2026-01-06,oper,oper_hab_beber_2l_de_agua,True,13,0,2
oper_hst_meditar_10min_20260106,2026-01-06,oper,oper_hab_meditar_10min,True,14,0,10
oper_hst_alongamento_20260106,2026-01-06,oper,oper_hab_alongamento,True,14,0,10
oper_hst_ler_30min_20260106,2026-01-06,oper,oper_hab_ler_30min,True,7,0,30
oper_hst_caminhada_20min_20260106,2026-01-06,oper,oper_hab_caminhada_20min,True,1,0,20
oper_hst_escrever_diario_20260106,2026-01-06,oper,oper_hab_escrever_diario,True,3,3,15
oper_hst_planejar_dia_20260106,2026-01-06,oper,oper_hab_planejar_dia,True,13,0,10
oper_hst_beber_2l_de_agua_20260107,2026-01-07,oper,oper_hab_beber_2l_de_agua,True,14,0,2
oper_hst_meditar_10min_20260107,2026-01-07,oper,oper_hab_meditar_10min,True,15,0,10
oper_hst_alongamento_20260107,2026-01-07,oper,oper_hab_alongamento,True,15,0,10
